Sr. No.,Name,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student ID,Email,Program,Contact No.,WhatsApp No.,Alternate No.,Skype ID,
1,Rahul Kumar,2024-02-26,Completed,20:30:00,21:30:00,202001012,202001012@daiict.ac.in,B.Tech,9876543210,9876543210,7860978978,live:.cid.c27318a5b42
2,Shreya Patel,2024-02-26,Completed,20:30:00,21:30:00,202001013,202001013@daiict.ac.in,B.Tech,9876543211,9876543211,7860978979,live:.cid.c27318a5b43
3,Ravi Singh,2024-02-26,Completed,20:30:00,21:30:00,202001014,202001014@daiict.ac.in,M.Tech,9876543212,9876543212,7860978980,live:.cid.c27318a5b44
4,Kriti Sharma,2024-02-26,Completed,20:30:00,21:30:00,202001015,202001015@daiict.ac.in,M.Tech,9876543213,9876543213,7860978981,live:.cid.c27318a5b45
5,Ajay Verma,2024-02-26,Completed,20:30:00,21:30:00,202001016,202001016@daiict.ac.in,B.Tech,9876543214,9876543214,7860978982,live:.cid.c27318a5b46
6,Priya Gupta,2024-02-26,Completed,20:30:00,21:30:00,202001017,202001017@daiict.ac.in,B.Tech,9876543215,9876543215,7860978983,live:.cid.c27318a5b47
7,Raj Kumar,2024-02-26,Completed,20:30:00,21:30:00,202001018,202001018@daiict.ac.in,M.Tech,9876543216,9876543216,7860978984,live:.cid.c27318a5b48
8,Komal Singh,2024-02-26,Completed,20:30:00,21:30:00,202001019,202001019@daiict.ac.in,M.Tech,9876543217,9876543217,7860978985,live:.cid.c27318a5b49
9,Vivek Tiwari,2024-02-26,Completed,20:30:00,21:30:00,202001020,202001020@daiict.ac.in,B.Tech,9876543218,9876543218,7860978986,live:.cid.c27318a5b50
10,Neha Jain,2024-02-26,Completed,20:30:00,21:30:00,202001021,202001021@daiict.ac.in,M.Tech,9876543219,9876543219,7860978987,live:.cid.c27318a5b51
11,Rahul Kumar,2024-02-26,Completed,20:30:00,21:30:00,202001022,202001022@daiict.ac.in,B.Tech,9876543220,9876543220,7860978988,live:.cid.c27318a5b52
12,Asha Patel,2024-02-26,Completed,20:30:00,21:30:00,202001023,202001023@daiict.ac.in,M.Tech,9876543221,9876543221,7860978989,live:.cid.c27318a5b53
13,Ankit Singh,2024-02-26,Completed,20:30:00,21:30:00,202001024,202001024@daiict.ac.in,B.Tech,9876543222,9876543222,7860978990,live:.cid.c27318a5b54
14,Anjali Verma,2024-02-26,Completed,20:30:00,21:30:00,202001025,202001025@daiict.ac.in,M.Tech,9876543223,9876543223,7860978991,live:.cid.c27318a5b55
