Sr. No.,Name,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student ID,Email,Program,Contact No.,WhatsApp No.,Alternate No.,Skype ID,
1,Komal Singh,2024-04-06,Completed,11:30:00,12:30:00,202001019,202001019@daiict.ac.in,M.Tech,9876543217,9876543217,7860978985,live:.cid.c27318a5b49
2,Vivek Tiwari,2024-04-06,Completed,12:00:00,13:00:00,202001020,202001020@daiict.ac.in,B.Tech,9876543218,9876543218,7860978986,live:.cid.c27318a5b50
3,Neha Jain,2024-04-06,Completed,12:30:00,13:30:00,202001021,202001021@daiict.ac.in,M.Tech,9876543219,9876543219,7860978987,live:.cid.c27318a5b51
4,Rahul Kumar,2024-04-06,Completed,13:00:00,14:00:00,202001022,202001022@daiict.ac.in,B.Tech,9876543220,9876543220,7860978988,live:.cid.c27318a5b52
5,Asha Patel,2024-04-06,Completed,13:30:00,14:30:00,202001023,202001023@daiict.ac.in,M.Tech,9876543221,9876543221,7860978989,live:.cid.c27318a5b53
6,Ankit Singh,2024-04-06,Completed,14:00:00,15:00:00,202001024,202001024@daiict.ac.in,B.Tech,9876543222,9876543222,7860978990,live:.cid.c27318a5b54
7,Rohan Gupta,2024-04-06,Completed,09:00:00,10:00:00,202001026,202001026@daiict.ac.in,B.Tech,9876543224,9876543224,7860978992,live:.cid.c27318a5b56
8,Pooja Singh,2024-04-06,Completed,09:30:00,10:30:00,202001027,202001027@daiict.ac.in,B.Tech,9876543225,9876543225,7860978993,live:.cid.c27318a5b57
9,Vikas Sharma,2024-04-06,Completed,10:00:00,11:00:00,202001028,202001028@daiict.ac.in,B.Tech,9876543226,9876543226,7860978994,live:.cid.c27318a5b58
10,Kavita Verma,2024-04-06,Completed,10:30:00,11:30:00,202001029,202001029@daiict.ac.in,B.Tech,9876543227,9876543227,7860978995,live:.cid.c27318a5b59
11,Rakesh Singh,2024-04-06,Completed,11:00:00,12:00:00,202001030,202001030@daiict.ac.in,B.Tech,9876543228,9876543228,7860978996,live:.cid.c27318a5b60
12,Deepa Sharma,2024-04-06,Completed,11:30:00,12:30:00,202001031,202001031@daiict.ac.in,M.Tech,9876543229,9876543229,7860978997,live:.cid.c27318a5b61
13,Pradeep Kumar,2024-04-06,Completed,12:00:00,13:00:00,202001032,202001032@daiict.ac.in,B.Tech,9876543230,9876543230,7860978998,live:.cid.c27318a5b62
14,Arpita Gupta,2024-04-06,Completed,12:30:00,13:30:00,202001033,202001033@daiict.ac.in,M.Tech,9876543231,9876543231,7860978999,live:.cid.c27318a5b63
15,ABC XYZ,2024-04-06,Completed,13:00:00,14:00:00,202001034,202001034@daiict.ac.in,B.Tech,9876543232,9876543232,7860979000,live:.cid.c27318a5b64
16,XYZ ABC,2024-04-06,Completed,13:30:00,14:30:00,202001035,202001035@daiict.ac.in,M.Tech,9876543233,9876543233,7860979001,live:.cid.c27318a5b65
17,Priya Patel,2024-04-06,Completed,09:00:00,10:00:00,202001037,202001037@daiict.ac.in,B.Tech,9876543235,9876543235,7860979003,live:.cid.c27318a5b67
18,Ravi Kumar,2024-04-06,Completed,09:30:00,10:30:00,202001038,202001038@daiict.ac.in,M.Tech,9876543236,9876543236,7860979004,live:.cid.c27318a5b68
19,Komal Verma,2024-04-06,Completed,10:00:00,11:00:00,202001039,202001039@daiict.ac.in,M.Tech,9876543237,9876543237,7860979005,live:.cid.c27318a5b69
20,Rajesh Sharma,2024-04-06,Completed,10:30:00,11:30:00,202001040,202001040@daiict.ac.in,B.Tech,9876543238,9876543238,7860979006,live:.cid.c27318a5b70
