Sr. No.,Name,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student ID,Email,Program,Contact No.,WhatsApp No.,Alternate No.,Skype ID,
1,Rohan Gupta,2024-04-08,Completed,09:00:00,10:00:00,202001026,202001026@daiict.ac.in,B.Tech,9876543224,9876543224,7860978992,live:.cid.c27318a5b56
2,Pooja Singh,2024-04-08,Completed,09:30:00,10:30:00,202001027,202001027@daiict.ac.in,B.Tech,9876543225,9876543225,7860978993,live:.cid.c27318a5b57
3,Vikas Sharma,2024-04-08,Completed,10:00:00,11:00:00,202001028,202001028@daiict.ac.in,B.Tech,9876543226,9876543226,7860978994,live:.cid.c27318a5b58
4,Kavita Verma,2024-04-08,Completed,10:30:00,11:30:00,202001029,202001029@daiict.ac.in,B.Tech,9876543227,9876543227,7860978995,live:.cid.c27318a5b59
5,Rakesh Singh,2024-04-08,Completed,11:00:00,12:00:00,202001030,202001030@daiict.ac.in,B.Tech,9876543228,9876543228,7860978996,live:.cid.c27318a5b60
6,Deepa Sharma,2024-04-08,Completed,11:30:00,12:30:00,202001031,202001031@daiict.ac.in,M.Tech,9876543229,9876543229,7860978997,live:.cid.c27318a5b61
7,Pradeep Kumar,2024-04-08,Completed,12:00:00,13:00:00,202001032,202001032@daiict.ac.in,B.Tech,9876543230,9876543230,7860978998,live:.cid.c27318a5b62
8,Arpita Gupta,2024-04-08,Completed,12:30:00,13:30:00,202001033,202001033@daiict.ac.in,M.Tech,9876543231,9876543231,7860978999,live:.cid.c27318a5b63
9,ABC XYZ,2024-04-08,Completed,13:00:00,14:00:00,202001034,202001034@daiict.ac.in,B.Tech,9876543232,9876543232,7860979000,live:.cid.c27318a5b64
10,XYZ ABC,2024-04-08,Completed,13:30:00,14:30:00,202001035,202001035@daiict.ac.in,M.Tech,9876543233,9876543233,7860979001,live:.cid.c27318a5b65

