Sr. No.,Name,Interview Date,Interview Status,Interview Start Time,Interview End Time,Student ID,Email,Program,Contact No.,WhatsApp No.,Alternate No.,Skype ID,
1,Ravi Singh,2024-04-03,Completed,09:00:00,10:00:00,202001014,202001014@daiict.ac.in,M.Tech,9876543212,9876543212,7860978980,live:.cid.c27318a5b44
2,Kriti Sharma,2024-04-03,Completed,09:30:00,10:30:00,202001015,202001015@daiict.ac.in,M.Tech,9876543213,9876543213,7860978981,live:.cid.c27318a5b45
3,Ajay Verma,2024-04-03,Completed,10:00:00,11:00:00,202001016,202001016@daiict.ac.in,B.Tech,9876543214,9876543214,7860978982,live:.cid.c27318a5b46
4,Priya Gupta,2024-04-03,Completed,10:30:00,11:30:00,202001017,202001017@daiict.ac.in,B.Tech,9876543215,9876543215,7860978983,live:.cid.c27318a5b47
5,Raj Kumar,2024-04-03,Completed,11:00:00,12:00:00,202001018,202001018@daiict.ac.in,M.Tech,9876543216,9876543216,7860978984,live:.cid.c27318a5b48
6,Komal Singh,2024-04-03,Completed,11:30:00,12:30:00,202001019,202001019@daiict.ac.in,M.Tech,9876543217,9876543217,7860978985,live:.cid.c27318a5b49
7,Vivek Tiwari,2024-04-03,Completed,12:00:00,13:00:00,202001020,202001020@daiict.ac.in,B.Tech,9876543218,9876543218,7860978986,live:.cid.c27318a5b50
8,Neha Jain,2024-04-03,Completed,12:30:00,13:30:00,202001021,202001021@daiict.ac.in,M.Tech,9876543219,9876543219,7860978987,live:.cid.c27318a5b51
9,Rahul Kumar,2024-04-03,Completed,13:00:00,14:00:00,202001022,202001022@daiict.ac.in,B.Tech,9876543220,9876543220,7860978988,live:.cid.c27318a5b52
10,Asha Patel,2024-04-03,Completed,13:30:00,14:30:00,202001023,202001023@daiict.ac.in,M.Tech,9876543221,9876543221,7860978989,live:.cid.c27318a5b53
11,Ankit Singh,2024-04-03,Completed,14:00:00,15:00:00,202001024,202001024@daiict.ac.in,B.Tech,9876543222,9876543222,7860978990,live:.cid.c27318a5b54
12,Rohan Gupta,2024-04-03,Completed,09:00:00,10:00:00,202001026,202001026@daiict.ac.in,B.Tech,9876543224,9876543224,7860978992,live:.cid.c27318a5b56
13,Pooja Singh,2024-04-03,Completed,09:30:00,10:30:00,202001027,202001027@daiict.ac.in,B.Tech,9876543225,9876543225,7860978993,live:.cid.c27318a5b57
